bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,publication_date,publisher
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9780441294671,eng,423,2785,6/15/1987,Ace Books
12036,The Confidence-Man,Herman Melville\Tony Tanner\John Dugdale,3.65,192837621,9780192837622,eng,361,1876,11/11/1999,Oxford University Press
3758,Casino Royale (James Bond  #1),Ian Fleming,3.73,014200202X,9780142002025,eng,181,48961,8/27/2002,Penguin
32592,In Wonderland,Knut Hamsun\Sverre Lyngstad,3.6,970312555,9780970312556,nor,185,86,9/1/2003,Ig Publishing
25320,March Upcountry (Empire of Man  #1),David Weber\John Ringo,4.18,743435389,9780743435383,eng,608,9721,5/1/2002,Baen
11768,The Hotel New Hampshire,John Irving,3.9,552992097,9780552992091,eng,520,51267,10/22/1982,Black Swan
13551,From Far Away  Vol. 14,Kyoko Hikawa\Yuko Sawada\Freeman Wong,4.5,142150541X,9781421505411,eng,208,986,1/9/2007,VIZ Media
9558,Back to Wando Passo,David     Payne,3.25,60851899,9780060851897,en-US,448,202,5/23/2006,William Morrow
34540,The Last Hero: A Discworld Fable (Discworld  #27),Terry Pratchett\Paul Kidby,4.17,057506885X,9780575068858,eng,160,830,10/18/2001,Gollancz
22237,Son of the Mob (Son of the Mob  #1),Gordon Korman,3.72,786815930,9780786815937,eng,262,5977,9/1/2004,Little  Brown Books for Young Readers
